FID,state_name,county,bdt
bioforests.1,Alabama,Autauga,48.143
bioforests.2,Alabama,Baldwin,33.875
bioforests.3,Alabama,Barbour,60.711
bioforests.7,Alabama,Butler,45.321
bioforests.8,Alabama,Calhoun,6.5247
bioforests.9,Alabama,Chambers,23.026
bioforests.10,Alabama,Cherokee,24.012
bioforests.11,Alabama,Chilton,32.781
bioforests.12,Alabama,Choctaw,110.99
bioforests.13,Alabama,Clarke,168.7
bioforests.247,Colorado,Baca,0
bioforests.248,Colorado,Bent,0
bioforests.249,Colorado,Boulder,0
bioforests.250,Colorado,Broomfield,0
bioforests.251,Colorado,Chaffee,0.045994
bioforests.299,Colorado,San Juan,0
bioforests.300,Colorado,San Miguel,0
bioforests.235,California,Sutter,0
bioforests.236,California,Tehama,22.508
bioforests.292,Colorado,Pitkin,0
bioforests.308,Connecticut,Hartford,8.6447
bioforests.309,Connecticut,Litchfield,2.2183
bioforests.310,Connecticut,Middlesex,0.31429
bioforests.311,Connecticut,New Haven,11.848
bioforests.312,Connecticut,New London,9.8972
bioforests.313,Connecticut,Tolland,0.68225
bioforests.314,Connecticut,Windham,1.2188
bioforests.127,Arkansas,Crittenden,0.4735
bioforests.277,Colorado,La Plata,0.28363
bioforests.278,Colorado,Larimer,0.10732
bioforests.302,Colorado,Summit,0.27597
bioforests.376,Florida,Sarasota,0.14034
bioforests.377,Florida,Seminole,2.0957
bioforests.378,Florida,Sumter,9.3934
bioforests.379,Florida,Suwannee,28.257
bioforests.380,Florida,Taylor,72.96
bioforests.381,Florida,Union,17.053
bioforests.382,Florida,Volusia,16.648
bioforests.383,Florida,Wakulla,5.1313
bioforests.384,Florida,Walton,24.898
bioforests.385,Florida,Washington,32.822
bioforests.280,Colorado,Lincoln,0
bioforests.281,Colorado,Logan,0
bioforests.282,Colorado,Mesa,2.6523
bioforests.304,Colorado,Washington,0
bioforests.305,Colorado,Weld,0
bioforests.395,Georgia,Berrien,20.367
bioforests.396,Georgia,Bibb,5.797
bioforests.51,Alabama,Montgomery,13.291
bioforests.332,Florida,Dixie,45.699
bioforests.333,Florida,Duval,22.986
bioforests.334,Florida,Escambia,11.882
bioforests.335,Florida,Flagler,17.412
bioforests.336,Florida,Franklin,4.3122
bioforests.337,Florida,Gadsden,56.781
bioforests.338,Florida,Gilchrist,20.519
bioforests.339,Florida,Glades,1.3586
bioforests.340,Florida,Gulf,24.255
bioforests.341,Florida,Hamilton,46.845
bioforests.420,Georgia,Colquitt,17.898
bioforests.421,Georgia,Columbia,20.348
bioforests.422,Georgia,Cook,10.938
