Net generation for all sectors annual
https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=vtvv&geo=g&sec=g&linechart=ELEC.GEN.GEO-US-99.A~ELEC.GEN.COW-US-99.A~ELEC.GEN.NG-US-99.A~ELEC.GEN.NUC-US-99.A~ELEC.GEN.HYC-US-99.A~ELEC.GEN.WND-US-99.A~ELEC.GEN.TSN-US-99.A~ELEC.GEN.BIO-US-99.A~ELEC.GEN.OTH-US-99.A&columnchart=ELEC.GEN.ALL-US-99.A~ELEC.GEN.COW-US-99.A~ELEC.GEN.NG-US-99.A~ELEC.GEN.NUC-US-99.A~ELEC.GEN.HYC-US-99.A~ELEC.GEN.WND-US-99.A&map=ELEC.GEN.ALL-US-99.A&freq=A&start=2001&end=2017&chartindexed=0&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=
23:28:49 GMT-0400 (Eastern Daylight Time)
Data source: U.S. Energy Information Administration
Year,United States : geothermal thousand megawatthours,United States : coal thousand megawatthours,United States : natural gas thousand megawatthours,United States : nuclear thousand megawatthours,United States : conventional hydroelectric thousand megawatthours,United States : wind thousand megawatthours,United States : all solar thousand megawatthours,United States : biomass thousand megawatthours,United States : other thousand megawatthours
2017,15976.04083,1207901.30598,1272864.16595,804949.635,300044.50318,254254.33938,77096.93408,64056.53377,13044.6694
2016,15825.807,1239148.65432,1378306.93393,805693.948,267812.15308,226992.56213,54866.49178,62760.45802,13754.23521
2015,15917.575,1352398.19668,1333482.11011,797177.877,249080.08484,190718.54771,39032.17088,63631.87742,14027.80734
2014,15876.941,1581710.34974,1126608.95831,797165.982,259366.62186,181655.2818,28923.68989,63989.44399,13461.29535
2013,15774.67408,1581114.7158,1124835.55984,789016.473,268565.38273,167839.74544,,60858.0265,13587.52181
2012,15562.42563,1514042.94453,1225894.17537,769331.249,276240.2193,140821.71472,,57622.16573,13787.06671
2011,15316.068,1733430.00534,1013688.92924,790204.367,319354.90345,120176.59863,,56670.82996,14153.59945
2010,15219.21312,1847290.27851,987697.23368,806968.30056,260203.06938,94652.24608,,56089.3663,12855.34156
2009,15008.658,1755904.25296,920978.68052,798854.585,273445.09417,73886.13171,,54492.73421,11928.33439
2008,14839.97656,1985801.24666,882980.59905,806208.435,254831.38511,55363.10007,,55033.61166,11803.6648
2007,14637.21299,2016455.58352,896589.79109,806424.753,247509.97431,34449.9274,,55538.57798,12231.13073
2006,14568.029,1990511.13453,816440.7696,787218.636,289246.41565,26589.13699,,54860.62065,12974.39912
2005,14691.7452,2012873.04581,760960.25439,781986.365,270321.25494,17810.54902,,54276.80967,12821.0589
2004,14810.97454,1978300.54918,710100.01654,788528.387,268417.30836,14143.74074,,53537.45309,14232.40149
2003,14424.231,1973736.75,649907.541,763732.695,275806.328,11187.467,,53341.08936,14044.50664
2002,14491.31,1933130.354,691005.745,780064.087,264328.833,10354.279,,53708.75241,13526.90959
2001,13740.501,1903955.943,639129.12,768826.308,216961.044,6737.332,,49748.05798,11906.34202 
