Electricity Electric Power Sector Power Only (Case Reference case)
https://www.eia.gov/outlooks/aeo/data/browser/#/?id=8-AEO2018&region=0-0&cases=ref2018&start=2018&end=2050&f=A&linechart=ref2018-d121317a.6-8-AEO2018~ref2018-d121317a.7-8-AEO2018~ref2018-d121317a.8-8-AEO2018~ref2018-d121317a.9-8-AEO2018~~ref2018-d121317a.11-8-AEO2018~~&ctype=linechart&sourcekey=0
00:00:08 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Year,Coal BkWh,Petroleum BkWh,Natural Gas BkWh,Nuclear BkWh,Renewable Sources BkWh
2050,1138.642334,7.059862,1514.781982,634.918152,1240.836182
2049,1136.24585,7.057289,1484.593384,645.884094,1231.802979
2048,1127.178223,7.201748,1474.994385,645.884094,1221.955933
2047,1128.739136,7.050446,1455.64502,647.092529,1209.457886
2046,1129.165771,7.039622,1441.139282,649.926636,1191.978516
2045,1135.712402,7.043876,1423.484863,655.429199,1166.082275
2044,1135.504028,7.399139,1411.310669,661.057251,1145.102783
2043,1125.106689,7.692981,1408.733032,662.43103,1130.897705
2042,1126.362549,7.978334,1391.610962,664.109131,1118.422852
2041,1135.494751,8.321981,1367.29126,665.787903,1107.821533
2040,1136.898193,8.647828,1350.10498,665.718811,1099.307373
2039,1141.678223,8.655882,1333.113281,663.4599,1091.957031
2038,1140.041016,8.717975,1321.877563,661.287476,1079.222656
2037,1139.363037,8.98939,1314.421265,660.053467,1060.240234
2036,1141.831177,9.113636,1297.26709,661.016907,1045.102661
2035,1139.73999,9.165419,1281.267456,668.58374,1029.489136
2034,1142.427734,9.205666,1279.935303,671.147949,1000.283447
2033,1144.880859,9.252253,1263.607666,686.973145,974.781494
2032,1149.521362,9.322304,1260.660278,689.552429,951.562988
2031,1156.652588,9.398479,1259.506836,688.672119,930.888977
2030,1168.058105,9.787779,1243.803833,695.88855,911.310181
2029,1168.439697,9.992382,1237.377441,706.121826,895.282288
2028,1164.756836,10.120624,1223.219238,708.66925,887.167725
2027,1170.560669,10.503863,1196.124512,709.656189,880.950134
2026,1172.226929,10.945835,1178.246582,709.667542,873.792786
2025,1155.281128,11.509763,1173.334473,718.577026,865.869507
2024,1140.358887,11.718273,1158.656494,738.86377,856.473633
2023,1100.501099,11.695051,1173.326294,745.052795,849.973694
2022,1094.624512,11.798971,1141.839478,763.492126,843.148193
2021,1129.5979,12.034386,1110.542114,761.197876,821.322388
2020,1165.184448,12.340902,1107.332642,764.657288,776.363831
2019,1167.011353,12.649876,1156.968018,788.091431,682.003052
2018,1223.139648,16.6415,1073.023193,797.014343,613.528198
2017,1236.52356,17.061085,1004.163757,792.317627,625.419128
2016,1215.906006,20.868999,1150.384033,804.239014,572.888672 
