Renewable Energy Electric Power Sector Electricity Generation (Case Reference case Region United States)
https://www.eia.gov/outlooks/aeo/data/browser/#/?id=67-AEO2018&region=3-0&cases=ref2018&start=2018&end=2050&f=A&linechart=~ref2018-d121317a.30-67-AEO2018.3-0~ref2018-d121317a.31-67-AEO2018.3-0~ref2018-d121317a.32-67-AEO2018.3-0~ref2018-d121317a.33-67-AEO2018.3-0~ref2018-d121317a.34-67-AEO2018.3-0~ref2018-d121317a.35-67-AEO2018.3-0~ref2018-d121317a.36-67-AEO2018.3-0~~&ctype=linechart&chartindexed=0&sourcekey=0
23:56:24 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Year,Hydropower BkWh,Geothermal BkWh,Biogenic Municipal Waste BkWh,Wood and Other Biomass BkWh,Solar Thermal BkWh,Solar Photovoltaic BkWh,Wind BkWh
2050,296.775391,65.746956,23.119753,9.787712,2.76437,408.990051,438.462006
2049,296.755219,64.902313,23.099648,9.563445,2.756794,408.278137,431.249603
2048,296.641479,64.294884,23.05953,9.441784,2.748855,404.645691,425.924591
2047,296.628296,63.220654,23.149584,9.011049,2.703116,395.255341,424.293091
2046,296.616425,62.530304,23.134439,9.158195,2.718281,379.230286,423.394806
2045,296.605103,60.921635,22.809898,9.136226,2.745041,356.899597,421.768463
2044,296.26535,59.589333,22.845169,9.399302,2.743512,341.795227,417.269958
2043,296.092865,57.96772,22.784328,9.848173,2.724539,332.247223,414.036835
2042,296.070709,56.92902,22.145685,9.801838,2.785561,323.12204,412.367065
2041,296.004883,56.155029,21.912968,9.814779,2.758684,314.491119,411.481689
2040,295.983063,55.220436,22.041752,9.817988,2.77155,307.813965,410.457062
2039,295.978088,54.380772,21.749514,9.652487,2.757842,301.7211,410.523041
2038,295.965942,53.563179,21.727045,9.440878,2.771621,290.504944,410.056122
2037,295.954559,52.645245,21.782282,9.210919,2.775913,272.999847,409.678772
2036,295.910248,51.687546,21.66411,9.437615,2.777271,258.920013,409.512604
2035,295.810303,50.584736,21.479132,9.129066,2.769854,244.91951,409.607178
2034,295.806274,49.237804,21.58531,9.012859,2.786489,217.17482,409.490295
2033,295.803802,47.278214,21.418163,9.174756,2.793238,193.858276,409.265472
2032,295.598114,45.420151,21.403957,9.099247,2.793496,173.150604,408.907776
2031,295.596527,43.556385,21.520527,9.211622,2.776755,155.064529,407.970398
2030,295.597931,40.614193,21.632395,9.233247,2.763921,138.944824,407.33078
2029,295.599121,38.022564,21.66538,9.30423,2.761456,126.251038,406.413879
2028,295.594818,35.233635,21.50403,10.207686,2.808219,120.894249,405.66037
2027,295.590729,32.388126,21.069807,9.768278,2.882105,118.369537,405.692627
2026,295.587585,29.776819,21.064068,9.548646,2.949998,114.578644,405.098053
2025,295.552399,27.934769,21.141523,9.507309,2.85295,109.361862,404.330139
2024,295.566467,25.86797,21.027332,8.863646,2.757631,104.025421,403.176941
2023,295.049591,23.464954,21.134657,6.74813,2.75396,103.513084,402.112
2022,294.89389,20.814323,21.39213,5.994071,2.877929,103.418289,398.561035
2021,294.879028,18.483509,21.498224,6.276164,2.96694,101.869385,380.156708
2020,294.935608,16.699875,21.34235,7.020948,2.967266,91.32428,346.898193
2019,280.323914,16.77319,21.02832,6.039723,3.253386,73.787155,285.622437
2018,264.783356,16.800308,20.275715,5.53891,3.25813,50.425415,257.235901
2017,294.72049,17.082756,19.921318,5.608714,3.273897,43.635895,245.862762
2016,266.328979,15.827,18.637762,13.503784,3.383,32.204319,226.901001 
