"Plants for multiple sectors,multiple states,multiple primary technologys"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,5&pt=0000g8&pm=&sec=vvo&geo=vvvvvvvvvvvvo&wd=&ws=&wsn=&wt=&freq=A&datecode=2014&tab=consumption-quantity&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Mon Feb 05 2018 22:59:31 GMT-0500 (EST)"
"Source: U.S. Energy Information Administration"
"Plant Name","OBG (Mcf)","NG (Mcf)","AB (short tons)","WDS (short tons)","DFO (barrels)","BLQ (short tons)","BIT (short tons)","KER (barrels)","RFO (barrels)","SLW (short tons)","WO (barrels)","PC (short tons)","ANT (short tons)","TDF (short tons)","SUN","SUB (short tons)","PG (Mcf)","OBL (barrels)","WDL (barrels)","OBS (short tons)","LIG (short tons)","WAT","MSN (short tons)","MSB (short tons)","OTH","LFG (Mcf)","PUR","WC (short tons)","JF (barrels)"
"AgriReNew",152027,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Agrilectric Power Partners Ltd","--",6243,112697,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Akron WRF",180282,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Alabama Pine Pulp","--",545758,"--",102876,11557,1093731,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Alabama River Pulp","--",555002,"--",326046,24229,856655,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Aliso Water Management Agency",104,22,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Allendale Biomass","--","--","--",197409,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Altavista Power Station","--",11911,"--",378604,0,"--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Ampersand Chowchilla Biomass LLC","--",883,"--",94965,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Androscoggin Mill","--",261904,"--",317525,"--",894561,"--",0,0,36697,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Ashdown","--",3488502,"--",547080,"--",1298601,87406,"--",0,"--","--",0,0,14798,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Aspen Biomass Power Plant","--","--","--",50980,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Back River Waste Water Treatment",161002,"--","--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Bay Front","--",689747,"--",192510,0,"--",0,"--","--","--","--",0,"--",2282,"--",7646,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"Bayville Central Facility",80795,3837,"--","--",488,"--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Benson Power Biomass Plant","--","--",272427,386223,"--","--","--","--","--","--","--","--","--","--","--","--",13572,"--","--","--","--","--","--","--","--","--","--","--","--"
"Big Sky Dairy Digester",186772,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"BioTown Ag",449397,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Biomass One LP","--","--","--",208190,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Blue Lake Power LLC","--","--","--",77549,"--","--","--","--","--","--","--","--","--","--","--","--",1301,"--","--","--","--","--","--","--","--","--","--","--","--"
"Blue Mountain Biogas",280000,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Boise Cascade International Falls","--",1732983,"--",237895,"--",491777,"--","--","--",26274,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Bos Dairy, LLC",181539,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Bowater Newsprint Calhoun Operation","--",306256,"--",374493,"--",682646,0,"--","--",0,"--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Bridgewater Dairy Anaerobic Digester",39938,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Bridgewater Power LP","--","--","--",227373,252,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Brunswick Cellulose","--",1210528,"--",316353,9204,1596095,"--","--",24273,"--","--","--","--",2117,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Buckeye Florida LP",0,1519521,"--",601385,0,1943075,"--","--",49364,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Buena Vista Biomass Power","--",62343,"--",134880,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Burgess BioPower","--","--","--",399745,3657,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Burney Forest Products","--",155776,"--",225066,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"CPI USA NC Roxboro","--","--","--",145749,"--","--",17224,"--","--","--","--","--","--",48418,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"CPI USA NC Southport","--","--","--",502035,"--","--",22573,"--","--","--","--","--","--",146062,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Cadillac Renewable Energy","--",2228,"--",317240,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Caltech Central",40024,13341,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Campbell Industrial Park","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--",115593,"--","--","--","--","--","--","--","--","--","--","--"
"Cargill B6 Biofactory",173412,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Cargill Dry Creek Biofactory",337011,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Cargill Kettle Butte Biofactory",163765,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Central District Wastewater Treat Plant",336660,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"City of Tulare Water Facility",38740,0,"--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Clean Fuel Dane Community Digester",243118,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Clearwater Paper IPP Lewiston","--",980731,"--",243327,0,1043326,"--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Clewiston Sugar House","--","--",1888720,"--",10925,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Co-Gen II LLC","--",0,"--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Co-Gen LLC","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Coastal Carolina Clean Power","--","--","--",342584,0,"--",0,"--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Collins Pine Project","--","--","--",61140,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Collinwood BioEnergy Facility",89267,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Columbia Flooring Melbourne","--","--","--",15245,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Columbus MS","--",298125,"--",551797,4159,1054860,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Cosmo Specialty Fibers Plant","--","--","--",141255,"--","--","--","--",47310,"--",0,"--","--","--","--","--","--","--",2556329,"--","--","--","--","--","--","--","--","--","--"
"Covanta Delano Energy","--",23,"--",320325,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Covanta Mendota","--",11535,"--",186143,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Covington Facility","--",2821532,"--",898208,8116,1238873,341558,"--",24815,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Cox Waste to Energy","--","--","--",61912,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Craven County Wood Energy LP","--","--","--",515714,"--","--","--","--","--","--",0,"--","--","--","--","--",0,"--","--",16534,"--","--","--","--","--","--","--","--","--"
"DG Whitefield LLC","--","--","--",222329,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Dairyland WTE Plant",124954,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Darrington","--","--","--",58843,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Davenport Water Pollution Control Plant",142688,565,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"DeRidder Mill","--",1347646,"--",357922,0,677449,"--","--","--","--","--","--","--",13022,"--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--"
"Des Moines Wastewater Reclamation Fac",239703,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Desert View Power","--",21582,"--",349837,"--","--","--","--","--","--","--",0,"--",763,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Dillard Complex","--",51270,"--",381694,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Domtar - Woodland Mill","--",1480673,"--",98376,"--",438591,"--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--"
"Domtar Kingsport Mill","--",134462,"--",326661,12327,495651,"--","--",0,0,"--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--"
"Domtar Paper Co LLC Plymouth NC","--",313084,"--",430396,32000,988188,0,"--",0,0,"--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Dorchester Biomass","--","--","--",214578,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Double A Digester",570755,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"E J Stoneman Station","--","--","--",328114,1086,"--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Eagle Valley Clean Energy LLC Biomass","--","--","--",41711,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Eastern Correctional Institute","--",0,"--",54035,200,"--",0,"--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--"
"El Nido Facility","--","--","--",95261,"--","--","--","--","--","--","--","--","--","--","--","--",1146,"--","--","--","--","--","--","--","--","--","--","--","--"
"Encina Water Pollution Control",208198,11278,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Enderlin","--",0,62898,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Enterprise Sugar Factory","--",21394,527851,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Evergreen BioPower LLC","--","--","--",75730,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Evergreen Community Power","--",27815,"--",251423,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--"
"Expera Specialty Solutions - Mosinee Mill","--",49630,"--",52649,0,238683,71319,"--",2161,13333,"--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--"
"Fairhaven Power","--",42451,"--",267793,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Fernandina Plant","--","--","--",208233,707,"--","--","--",35207,"--","--","--","--",1586,"--","--","--","--","--",256636,"--","--","--","--","--","--","--","--","--"
"Finch Paper","--",1269931,"--",217401,"--","--","--","--",12174,"--","--","--","--","--","--","--","--","--",1286895,"--","--","--","--","--","--","--","--","--","--"
"Flambeau River Papers","--","--","--",4241,0,"--",357,"--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--"
"Flint River Operations","--",221170,"--",249281,18421,866009,"--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Florence Mill","--",325386,"--",783770,"--",655629,102226,"--",7168,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Florida Power Development","--","--","--","--",1616,"--",0,"--","--","--","--","--","--","--","--","--","--","--","--",158701,"--","--","--","--","--","--","--","--","--"
"Fourche Creek Wastewater",61036,23858,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Fremont Community Digester, LLC",234477,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"French Island","--",3386,"--",51280,3520,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",18632,33125,"--","--","--","--","--"
"GL Dairy Biogas",93240,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Gainesville Renewable Energy Center","--",18540,"--",732403,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Gas Utilization Facility",667254,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--"
"Gaylord Container Bogalusa","--",502451,"--",984540,0,704224,0,"--",10663,"--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
