"Plants for multiple sectors,multiple states,multiple primary technologys"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,5&pt=0000g8&pm=&sec=vvo&geo=vvvvvvvvvvvvo&wd=&ws=&wsn=&wt=&freq=A&datecode=2014&tab=consumption-mmbtu_unit&start=200101&end=201710&ctype=linechart&ltype=pin&maptype=0&rse=0&pin="
"Mon Feb 05 2018 22:59:08 GMT-0500 (EST)"
"Source: U.S. Energy Information Administration"
"Plant Name","OBG","NG","AB","BLQ","DFO","WDS","SLW","TDF","BIT","SUB","PG","RFO","OBL","WDL","OBS","MSN","MSB","WO","PC","OTH","JF","LFG"
"AgriReNew",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Agrilectric Power Partners Ltd","--",1,12,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Akron WRF",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Alabama Pine Pulp","--",1,"--",11,6,9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Alabama River Pulp","--",1,"--",11,6,9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Aliso Water Management Agency",1,1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Allendale Biomass","--","--","--","--","--",9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Altavista Power Station","--",1,"--","--","--",9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Ampersand Chowchilla Biomass LLC","--",1,"--","--","--",16,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Androscoggin Mill","--",1,"--",11,"--",16,11,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Ashdown","--",1,"--",12,"--",7,"--",29,24,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"Aspen Biomass Power Plant","--","--","--","--","--",10,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Back River Waste Water Treatment",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Bay Front","--",1,"--","--","--",11,"--",33,"--",18,"--","--","--","--","--","--","--","--","--","--","--","--"
"Bayville Central Facility",1,1,"--","--",6,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Benson Power Biomass Plant","--","--",8,"--","--",10,"--","--","--","--",3,"--","--","--","--","--","--","--","--","--","--","--"
"Big Sky Dairy Digester",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"BioTown Ag",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Biomass One LP","--","--","--","--","--",17,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Blue Lake Power LLC","--","--","--","--","--",16,"--","--","--","--",3,"--","--","--","--","--","--","--","--","--","--","--"
"Blue Mountain Biogas",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Boise Cascade International Falls","--",1,"--",12,"--",18,7,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Bos Dairy, LLC",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Bowater Newsprint Calhoun Operation","--",1,"--",12,"--",13,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Bridgewater Dairy Anaerobic Digester",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Bridgewater Power LP","--","--","--","--",6,9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Brunswick Cellulose","--",1,"--",12,6,9,"--",31,"--","--","--",6,"--","--","--","--","--","--","--","--","--","--"
"Buckeye Florida LP","--",1,"--",12,"--",11,"--","--","--","--","--",6,"--","--","--","--","--","--","--","--","--","--"
"Buena Vista Biomass Power","--",1,"--","--","--",15,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
