"Plants for multiple sectors,multiple states,multiple primary technologys"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,5&pt=0000g8&pm=&sec=vvo&geo=vvvvvvvvvvvvo&wd=&ws=&wsn=&wt=&freq=A&datecode=2015&tab=consumption-quantity&start=200101&end=201710&ctype=linechart&ltype=pin&maptype=0&rse=0&pin="
"Mon Feb 05 2018 22:56:37 GMT-0500 (EST)"
"Source: U.S. Energy Information Administration"
"Plant Name","OBG (Mcf)","NG (Mcf)","AB (short tons)","DFO (barrels)","WDS (short tons)","BLQ (short tons)","BIT (short tons)","KER (barrels)","RFO (barrels)","SLW (short tons)","WO (barrels)","TDF (short tons)","SUN","PC (short tons)","SUB (short tons)","PG (Mcf)","OBL (barrels)","PUR","WDL (barrels)","OBS (short tons)","LIG (short tons)","WND","WAT","ANT (short tons)","MSB (short tons)","MSN (short tons)","OTH","JF (barrels)","WC (short tons)","LFG (Mcf)","OG (Mcf)"
"ABEC Bidart-Old River LLC",268431,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"AgriReNew",150777,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Agrilectric Power Partners Ltd","--",2539,117324,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Akron WRF",597000,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Alabama Pine Pulp","--",502571,"--",9410,99987,1053861,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Alabama River Pulp","--",879547,"--",18554,256773,828939,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Aliso Water Management Agency",24,101,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Allendale Biomass","--","--","--","--",266870,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Altavista Power Station","--",6112,"--",0,409562,"--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Ampersand Chowchilla Biomass LLC","--",1286,"--","--",86517,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
