"Plants for multiple sectors,multiple states,multiple primary technologys"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,5&pt=0000g8&pm=&sec=vvo&geo=vvvvvvvvvvvvo&wd=&ws=&wsn=&wt=&freq=A&datecode=2015&tab=consumption-mmbtu_unit&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Mon Feb 05 2018 22:57:45 GMT-0500 (EST)"
"Source: U.S. Energy Information Administration"
"Plant Name","OBG","NG","AB","WDS","BLQ","DFO","SLW","WO","TDF","BIT","SUB","PG","RFO","OBL","WDL","OBS","MSB","MSN","PC","OTH","JF","LFG"
"ABEC Bidart-Old River LLC",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"AgriReNew",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Agrilectric Power Partners Ltd","--",1,12,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Akron WRF",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Alabama Pine Pulp","--",1,"--",9,11,6,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Alabama River Pulp","--",1,"--",9,11,6,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Aliso Water Management Agency",1,1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Allendale Biomass","--","--","--",10,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Altavista Power Station","--",1,"--",9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Ampersand Chowchilla Biomass LLC","--",1,"--",16,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Androscoggin Mill","--",1,"--",16,11,"--",11,6,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Ashdown","--",1,"--",7,12,"--","--","--",29,24,"--","--","--","--","--","--","--","--","--","--","--","--"
"Aspen Biomass Power Plant","--","--","--",9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Back River Waste Water Treatment",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Bay Front","--",1,"--",11,"--","--","--","--",32,"--",18,"--","--","--","--","--","--","--","--","--","--","--"
"Bayville Central Facility",1,1,"--","--","--",6,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Benson Power Biomass Plant","--","--",9,11,"--","--","--","--","--","--","--",3,"--","--","--","--","--","--","--","--","--","--"
"Big Sky Dairy Digester",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"BioTown Ag",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Biomass One LP","--","--","--",17,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
