"Plants for multiple sectors,multiple states,multiple primary technologys"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,5&pt=0000g8&pm=&sec=vvo&geo=vvvvvvvvvvvvo&wd=&ws=&wsn=&wt=&freq=A&datecode=2016&tab=consumption-mmbtu_unit&start=200101&end=201710&ctype=linechart&ltype=pin&maptype=0&rse=0&pin="
"Mon Jan 29 2018 14:53:00 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","OBG","AB","NG","BLQ","DFO","WDS","SLW","WO","TDF","BIT","SUB","PG","RFO","OBL","OBS","WDL","MSB","MSN","PC","OTH","JF","LFG"
"ABEC Bidart-Old River LLC",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"AgriReNew",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Agrilectric Power Partners Ltd","--",12,1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Akron WRF",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Alabama Pine Pulp","--","--",1,12,6,8,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Alabama River Pulp","--","--",1,12,6,8,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Allendale Biomass","--","--","--","--","--",10,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Altavista Power Station","--","--",1,"--","--",10,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Ampersand Chowchilla Biomass LLC","--","--",1,"--","--",16,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Androscoggin Mill","--","--",1,11,"--",16,11,6,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Ashdown","--","--",1,12,"--",7,"--","--",29,24,"--","--","--","--","--","--","--","--","--","--","--","--"
"Athens Energy","--","--","--","--","--",10,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Back River Waste Water Treatment",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Bay Front","--","--",1,"--","--",11,"--","--",31,"--",16,"--","--","--","--","--","--","--","--","--","--","--"
"Bayville Central Facility",1,"--",1,"--",6,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Benson Power Biomass Plant","--",9,"--","--","--",10,"--","--","--","--","--",3,"--","--","--","--","--","--","--","--","--","--"
"Big Sky Dairy Digester",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"BioTown Ag",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Biomass One LP","--","--","--","--","--",17,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Biomass to Energy Facility, Kauai","--",8,"--","--",6,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Blue Lake Power LLC","--","--","--","--","--",16,"--","--","--","--","--",3,"--","--","--","--","--","--","--","--","--","--"
"Blue Mountain Biogas",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Boise Cascade International Falls","--","--",1,12,"--",10,10,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Bos Dairy, LLC",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Bowater Newsprint Calhoun Operation","--","--",1,12,"--",12,"--","--",16,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"Bridgewater Dairy Anaerobic Digester",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Bridgewater Power LP","--","--","--","--",6,9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Brunswick Cellulose","--","--",1,12,6,9,"--","--",31,"--","--","--",6,"--","--","--","--","--","--","--","--","--"
"Buckeye Florida LP","--","--",1,12,"--",11,"--","--","--","--","--","--",6,"--","--","--","--","--","--","--","--","--"
"Bucksport Generation LLC","--","--",1,"--",6,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Buena Vista Biomass Power","--","--",1,"--","--",15,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Burgess BioPower","--","--","--","--",6,9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Burney Forest Products","--","--",1,"--","--",17,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"CPI USA NC Roxboro","--","--","--","--","--",11,"--","--",27,27,"--","--","--","--","--","--","--","--","--","--","--","--"
"CPI USA NC Southport","--","--","--","--","--",10,"--","--",29,27,"--","--","--","--","--","--","--","--","--","--","--","--"
"Cadillac Renewable Energy","--","--",1,"--","--",9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Caltech Central",1,"--",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Campbell Industrial Park","--","--","--","--","--","--","--","--","--","--","--","--","--",5,"--","--","--","--","--","--","--","--"
"Cargill B6 Biofactory",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Cargill Dry Creek Biofactory",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Cargill Kettle Butte Biofactory",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Central District Wastewater Treat Plant",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Central Valley Ag Power",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"City of Hayward WWTP",1,"--",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"City of Tulare Water Facility",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Clean Fuel Dane Community Digester",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Clearwater Paper APP CB","--","--",1,12,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Clearwater Paper IPP Lewiston","--","--",1,12,"--",16,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Clewiston Sugar House","--",8,"--","--",6,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Collins Pine Project","--","--","--","--","--",17,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Collinwood BioEnergy Facility",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
