"Plants for multiple sectors,multiple states,multiple primary technologys"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,5&pt=0000g8&pm=&sec=vvo&geo=vvvvvvvvvvvvo&wd=&ws=&wsn=&wt=&freq=A&datecode=2016&tab=annual_emissions&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Mon Jan 29 2018 14:53:40 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","State","CO2 Emissions (tons)","SO2 Emissions (tons)","NOX Emissions (tons)"
"ABEC Bidart-Old River LLC","CA","--",0,335
"AgriReNew","IA","--",0,50
"Agrilectric Power Partners Ltd","LA",547,4,59
"Akron WRF","OH","--",0,241
"Alabama Pine Pulp","AL",31239,3346,692
"Alabama River Pulp","AL",69414,2589,1014
"Allendale Biomass","SC","--",34,33
"Altavista Power Station","VA",983,10,210
"Ampersand Chowchilla Biomass LLC","CA",84,0,14
"Androscoggin Mill","ME",86031,1844,616
"Ashdown","AR",296727,4528,1486
"Athens Energy","ME","--",2,19
"Back River Waste Water Treatment","MD","--",0,162
"Bay Front","WI",22019,87,290
"Bayville Central Facility","NJ",528,0,117
"Benson Power Biomass Plant","MN",1318,28,341
"Big Sky Dairy Digester","ID","--",0,224
"BioTown Ag","IN","--",0,600
"Biomass One LP","OR","--",23,201
"Biomass to Energy Facility, Kauai","HI",11,2,29
"Blue Lake Power LLC","CA",117,0,0
"Blue Mountain Biogas","UT","--",0,122
"Boise Cascade International Falls","MN",121285,1657,671
"Bos Dairy, LLC","IN","--",0,142
"Bowater Newsprint Calhoun Operation","TN",126234,2305,38
"Bridgewater Dairy Anaerobic Digester","OH","--",0,160
"Bridgewater Power LP","NH",150,29,33
"Brunswick Cellulose","GA",70718,5584,1640
"Buckeye Florida LP","FL",202973,7178,2464
"Bucksport Generation LLC","ME",8089,0,3
"Buena Vista Biomass Power","CA",791,2,9
"Burgess BioPower","NH",450,19,276
"Burney Forest Products","CA",10592,27,42
"CPI USA NC Roxboro","NC",213783,2101,401
"CPI USA NC Southport","NC",478927,4181,842
"Cadillac Renewable Energy","MI",60,53,151
"Caltech Central","CA",597,0,0
"Campbell Industrial Park","HI","--",320,257
"Cargill B6 Biofactory","ID","--",0,225
"Cargill Dry Creek Biofactory","ID","--",0,283
"Cargill Kettle Butte Biofactory","ID","--",0,138
"Central District Wastewater Treat Plant","FL","--",0,371
"Central Valley Ag Power","CA","--",0,19
"City of Hayward WWTP","CA",396,0,147
"City of Tulare Water Facility","CA","--",0,4
"Clean Fuel Dane Community Digester","WI","--",0,183
"Clearwater Paper APP CB","AR",133624,1541,642
"Clearwater Paper IPP Lewiston","ID",151060,3090,1060
"Clewiston Sugar House","FL",6263,90,912
"Collins Pine Project","CA","--",6,50
"Collinwood BioEnergy Facility","OH","--",0,85
"Columbia Flooring Melbourne","AR","--",1,12
"Columbus MS","MS",33996,3132,420
