"Plants for multiple sectors,multiple states,multiple primary technologys"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,5&pt=0000g8&pm=&sec=vvo&geo=vvvvvvvvvvvvo&wd=&ws=&wsn=&wt=&freq=A&datecode=2016&tab=generation&start=200101&end=201710&ctype=linechart&ltype=pin&maptype=0&rse=0&pin="
"Mon Jan 29 2018 14:51:28 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","ALL","OBG","NG","AB","DFO","BLQ","WDS","BIT","RFO","WO","SLW","KER","TDF","SUN","PC","SUB","PG","OBL","OBS","WDL","LIG","WND","WAT","MSB","MSN","OTH","JF","LFG","OG"
"ABEC Bidart-Old River LLC",10899,10899,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"AgriReNew",4058,4058,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Agrilectric Power Partners Ltd",80884,"--",614,80270,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Akron WRF",8220,8220,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Alabama Pine Pulp",439412,"--",17924,"--",340,408861,12287,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Alabama River Pulp",310492,"--",26267,"--",1497,206985,75742,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Allendale Biomass",162662,"--","--","--","--","--",162662,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Altavista Power Station",282677,"--",1215,"--",0,"--",281462,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Ampersand Chowchilla Biomass LLC",68912,"--",78,"--","--","--",68834,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Androscoggin Mill",337771,"--",50698,"--","--",201224,78711,"--",0,217,6921,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Ashdown",573418,"--",69779,"--","--",398984,49704,49895,0,"--","--","--",5056,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Athens Energy",8099,"--","--","--","--","--",8099,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Back River Waste Water Treatment",5575,4226,"--","--","--","--","--","--","--","--","--","--","--",1349,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Bay Front",154280,"--",2120,"--",0,"--",138848,0,"--","--","--","--",4850,"--",0,8462,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"Bayville Central Facility",6309,5166,510,"--",340,"--","--","--","--","--","--","--","--",294,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Benson Power Biomass Plant",344064,"--","--",137715,"--","--",205027,"--","--","--","--","--","--","--","--","--",1322,"--","--","--","--","--","--","--","--","--","--","--","--"
"Big Sky Dairy Digester",8692,8692,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"BioTown Ag",25902,25902,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Biomass One LP",155355,"--","--","--","--","--",155355,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Biomass to Energy Facility, Kauai",51308,"--","--",51296,12,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Blue Lake Power LLC",50,"--","--","--","--","--",39,"--","--","--","--","--","--","--","--","--",11,"--","--","--","--","--","--","--","--","--","--","--","--"
