"Plants for multiple sectors,multiple states,multiple primary technologys"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,5&pt=0000g8&pm=&sec=vvo&geo=vvvvvvvvvvvvo&wd=&ws=&wsn=&wt=&freq=A&datecode=2016&tab=consumption-quantity&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Mon Jan 29 2018 14:52:16 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","OBG (Mcf)","NG (Mcf)","AB (short tons)","WDS (short tons)","BLQ (short tons)","DFO (barrels)","BIT (short tons)","KER (barrels)","SLW (short tons)","WO (barrels)","RFO (barrels)","TDF (short tons)","SUN","SUB (short tons)","PC (short tons)","PG (Mcf)","OBL (barrels)","OBS (short tons)","WDL (barrels)","LIG (short tons)","WND","WAT","MSB (short tons)","MSN (short tons)","OTH","JF (barrels)","LFG (Mcf)","OG (Mcf)"
"ABEC Bidart-Old River LLC",279078,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"AgriReNew",348010,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Agrilectric Power Partners Ltd","--",10309,107033,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Akron WRF",200867,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Alabama Pine Pulp","--",574390,"--",49212,1051468,1813,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Alabama River Pulp","--",1218294,"--",432360,795153,11411,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Allendale Biomass","--","--","--",261770,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Altavista Power Station","--",17813,"--",424793,"--",0,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Ampersand Chowchilla Biomass LLC","--",1536,"--",83541,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Androscoggin Mill","--",1609055,"--",156868,577993,"--","--",0,20009,1181,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Ashdown","--",2258289,"--",246714,1111219,"--",70616,"--","--","--",0,5632,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Athens Energy","--","--","--",16930,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Back River Waste Water Treatment",135012,"--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Bay Front","--",36181,"--",220372,"--",0,0,"--","--","--","--",2772,"--",8147,0,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"Bayville Central Facility",87640,5191,"--","--","--",580,"--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Benson Power Biomass Plant","--","--",256992,329977,"--","--","--","--","--","--","--","--","--","--","--",8197,"--","--","--","--","--","--","--","--","--","--","--","--"
"Big Sky Dairy Digester",186305,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"BioTown Ag",499403,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Biomass One LP","--","--","--",176330,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Biomass to Energy Facility, Kauai","--","--",52513,"--","--",25,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Blue Lake Power LLC","--","--","--",255,"--","--","--","--","--","--","--","--","--","--","--",743,"--","--","--","--","--","--","--","--","--","--","--","--"
"Blue Mountain Biogas",101778,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Boise Cascade International Falls","--",2240552,"--",126698,511667,"--","--","--",11440,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Bos Dairy, LLC",118238,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Bowater Newsprint Calhoun Operation","--",2097135,"--",363079,641156,"--",0,"--",0,"--","--",8207,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Bridgewater Dairy Anaerobic Digester",132926,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Bridgewater Power LP","--","--","--",227913,"--",348,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Brunswick Cellulose","--",855849,"--",457314,1667075,1002,"--","--","--","--",29572,3375,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Buckeye Florida LP",0,2728787,"--",522013,2100312,0,"--","--","--","--",105195,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Bucksport Generation LLC","--",132533,"--",0,"--",1525,"--","--",0,"--",0,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Buena Vista Biomass Power","--",14724,"--",14899,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Burgess BioPower","--","--","--",789077,"--",1043,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Burney Forest Products","--",196414,"--",211903,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"CPI USA NC Roxboro","--","--","--",199113,"--","--",19898,"--","--","--","--",69915,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"CPI USA NC Southport","--","--","--",420859,"--","--",40725,"--","--","--","--",151980,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Cadillac Renewable Energy","--",1114,"--",258234,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Caltech Central",42196,14065,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Campbell Industrial Park","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--",120032,"--","--","--","--","--","--","--","--","--","--","--"
"Cargill B6 Biofactory",187544,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Cargill Dry Creek Biofactory",235415,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Cargill Kettle Butte Biofactory",114888,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Central District Wastewater Treat Plant",308840,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Central Valley Ag Power",15977,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"City of Hayward WWTP",115311,7242,"--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
