"Plants for multiple sectors,multiple states,multiple primary technologys"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,5&pt=0000g8&pm=&sec=vvo&geo=vvvvvvvvvvvvo&wd=&ws=&wsn=&wt=&freq=A&datecode=2016&tab=overview&start=200101&end=201710&ctype=linechart&ltype=pin&maptype=0&rse=0&pin="
"Mon Jan 29 2018 14:57:38 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","Plant Code","State","Sector Name","Prime Movers","Fuel Types","Primary Technology"
"ABEC Bidart-Old River LLC",58699,"CA","IPP Non-CHP","IC","OBG","Other Waste Biomass"
"AgriReNew",59181,"IA","IPP CHP","GT","OBG","Other Waste Biomass"
"Agrilectric Power Partners Ltd",10593,"LA","IPP Non-CHP","ST","AB","Other Waste Biomass"
"Akron Recycle Energy Plant",54265,"OH","Commercial CHP","ST","WDS","Wood/Wood Waste Biomass"
"Akron WRF",58980,"OH","Commercial CHP","IC","OBG","Other Waste Biomass"
"Alabama Pine Pulp",54429,"AL","Industrial CHP","ST","BLQ","Wood/Wood Waste Biomass"
"Alabama River Pulp",10216,"AL","Industrial CHP","ST","BLQ","Wood/Wood Waste Biomass"
"Allendale Biomass",58706,"SC","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"Altavista Power Station",10773,"VA","Electric Utility","ST","WDS","Wood/Wood Waste Biomass"
"Ampersand Chowchilla Biomass LLC",56706,"CA","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"Androscoggin Mill",54085,"ME","Industrial CHP","ST","BLQ","Wood/Wood Waste Biomass"
"Ashdown",54104,"AR","Industrial CHP","ST","BLQ","Wood/Wood Waste Biomass"
"Athens Energy",60457,"ME","IPP Non-CHP","OT","WDS","Wood/Wood Waste Biomass"
"Back River Waste Water Treatment",59026,"MD","IPP Non-CHP","IC, PV","OBG, SUN","Multiple"
"Bay Front",3982,"WI","Electric Utility","ST","NG, WDS","Multiple"
