Plant.Name.x,Plant.Code,State.x,Sector.Name,Prime.Movers,Fuel.Types,Primary.Technology,Utility.ID,Utility.Name,Plant.Name.y,Street.Address,City,State.y,Zip,County,Latitude,Longitude
ABEC Bidart-Old River LLC,58699,CA,IPP Non-CHP,IC,OBG,Other Waste Biomass,58628,ABEC Bidart-Old River LLC,ABEC Bidart-Old River LLC,20400 Old River Rd,Bakersfield,CA,93311,Kern,35.169722,-119.10555600000001
AgriReNew,59181,IA,IPP CHP,GT,OBG,Other Waste Biomass,58986,AgriReNew,AgriReNew,26618 20th Ave,Stockton,IA,52769,Scott,41.691944,-90.866389
Agrilectric Power Partners Ltd,10593,LA,IPP Non-CHP,ST,AB,Other Waste Biomass,135,Agrilectric Power Partners Ltd,Agrilectric Power Partners Ltd,3063 Hwy. 397,Lake Charles,LA,70615,Calcasieu,30.2012,-93.1269
Akron Recycle Energy Plant,54265,OH,Commercial CHP,ST,WDS,Wood/Wood Waste Biomass,58835,Akron Energy Systems LLC,Akron Recycle Energy Plant,226 Opportunity Parkway,Akron,OH,44307,Summit,41.073336,-81.530642
Akron WRF,58980,OH,Commercial CHP,IC,OBG,Other Waste Biomass,222,City of Akron,Akron WRF,2460 Akron Peninsula Rd,Akron,OH,44313,Summit,41.153333,-81.568889
Alabama Pine Pulp,54429,AL,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,57356,Alabama River Cellulose LLC,Alabama Pine Pulp,2373 Lena Landegger Hwy. Co Rd,Perdue Hill,AL,36470,Monroe,31.5825,-87.4889
Alabama River Pulp,10216,AL,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,57356,Alabama River Cellulose LLC,Alabama River Pulp,2373 Lena Landegger Hwy.Co. Rd,Perdue Hill,AL,36470,Monroe,31.5825,-87.4889
Allendale Biomass,58706,SC,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,57170,"EDF Renewable Asset Holdings, Inc.",Allendale Biomass,307 Airport Loop,Fairfax,SC,29810,Allendale,32.995,-81.281944
Altavista Power Station,10773,VA,Electric Utility,ST,WDS,Wood/Wood Waste Biomass,19876,Virginia Electric & Power Co,Altavista Power Station,104 Wood Lane,Altavista,VA,24517,Campbell,37.118674,-79.273551
Ampersand Chowchilla Biomass LLC,56706,CA,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,55953,Ampersand Chowchilla Biomass LLC,Ampersand Chowchilla Biomass LLC,16457 Avenue 24 1/2,Chowchilla,CA,93610,Madera,37.106668,-120.248504
Androscoggin Mill,54085,ME,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,55738,Verso Paper Androscoggin LLC,Androscoggin Mill,Riley Road,Jay,ME,04239,Franklin,44.506273,-70.239474
Ashdown,54104,AR,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,5262,Domtar Industries Inc,Ashdown,285 Hwy. 71 South,Ashdown,AR,71822,Little River,33.6417,-94.1083
Athens Energy,60457,ME,IPP Non-CHP,OT,WDS,Wood/Wood Waste Biomass,60242,"Athens Energy, LLC",Athens Energy,164 Harmony Rd.,Athens,ME,04912,Somerset,44.945514,-69.660705
Back River Waste Water Treatment,59026,MD,IPP Non-CHP,"IC, PV","OBG, SUN",Multiple,58870,City Council of Baltimore City,Back River Waste Water Treatment,8201 Eastern Ave,Baltimore,MD,21224,Baltimore City,39.299722,-76.494167
Bay Front,3982,WI,Electric Utility,ST,"NG, WDS",Multiple,13781,Northern States Power Co - Minnesota,Bay Front,122 N. 14th Ave West,Ashland,WI,54806,Ashland,46.587222,-90.9017
Bayville Central Facility,54569,NJ,Commercial CHP,"IC, PV","DFO, OBG, SUN",Multiple,13943,Ocean County Utilities Auth,Bayville Central Facility,501 Hickory Lane,Bayville,NJ,08721,Ocean,39.909424,-74.178041
Benson Power Biomass Plant,55867,MN,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,6306,"Benson Power, LLC.",Benson Power Biomass Plant,900 Industry Drive,Benson,MN,56215,Swift,45.322401,-95.629506
Big Sky Dairy Digester,57393,ID,IPP Non-CHP,IC,OBG,Other Waste Biomass,56718,DF-AP #1 LLC,Big Sky Dairy Digester,2395 S. 1500 E,Gooding,ID,83330,Gooding,42.8656,-114.7914
Big Valley Power LLC,10288,CA,Industrial Non-CHP,ST,WDS,Wood/Wood Waste Biomass,56497,Big Valley Power (BVP) LLC,Big Valley Power LLC,554 925 Highway 299 East,Bieber,CA,96009,Lassen,41.1325,-121.137222
BioTown Ag,59774,IN,Industrial CHP,IC,OBG,Other Waste Biomass,59539,BioTown Ag,BioTown Ag,402 W 100 North,Reynolds,IN,47980,White,40.765611,-86.879682
Biomass One LP,10869,OR,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,1745,Biomass One LP,Biomass One LP,2350 Avenue G,White City,OR,97503,Jackson,42.436111,-122.849958
"Biomass to Energy Facility, Kauai",59035,HI,IPP Non-CHP,"IC, ST","AB, DFO",Multiple,58873,Green Energy Team LLC,"Biomass to Energy Facility, Kauai",5031 Ku'ia Road,Koloa,HI,96756,Kauai,21.965278,-159.460556
Blue Lake Power LLC,10764,CA,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,56120,Blue Lake Power LLC,Blue Lake Power LLC,"200 Taylor Way, P.O. Box 1158",Blue Lake,CA,95525,Humboldt,40.8786,-123.9942
Blue Mountain Biogas,58130,UT,IPP Non-CHP,IC,OBG,Other Waste Biomass,58081,Blue Mountain Biogas LLC,Blue Mountain Biogas,12665 South Pioche Road,Milford,UT,84751,Beaver,38.173889,-113.297222
Boise Cascade International Falls,10486,MN,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,1991,Boise White Paper LLC,Boise Cascade International Falls,400 Second Street,International Falls,MN,56649,Koochiching,48.6067,-93.4066
"Bos Dairy, LLC",57625,IN,Industrial Non-CHP,IC,OBG,Other Waste Biomass,56953,"Bos Dairy, LLC","Bos Dairy, LLC",10777 West 700 North,Fair Oaks,IN,47943,Jasper,41.1153,-87.2328
Bowater Newsprint Calhoun Operation,50956,TN,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,23931,Resolute Forest Products,Bowater Newsprint Calhoun Operation,5020 Hwy 11 South,Calhoun,TN,37309,McMinn,35.2964,-84.7569
Bridgewater Dairy Anaerobic Digester,57173,OH,Industrial Non-CHP,IC,OBG,Other Waste Biomass,56498,Weaver Bridgewater Dairy,Bridgewater Dairy Anaerobic Digester,14587 County Rd 8 50,Montpelier,OH,43543,Williams,41.6292,-84.6694
Bridgewater Power LP,10290,NH,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,2226,Bridgewater Power Co LP,Bridgewater Power LP,Route #3,Bridgewater,NH,03217,Grafton,43.7155,-71.6585
Brunswick Cellulose,10605,GA,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,50003,Brunswick Cellulose LLC,Brunswick Cellulose,W 9th Street,Brunswick,GA,31520,Glynn,31.175406,-81.521637
Buckeye Florida LP,50466,FL,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,2522,Buckeye Florida Ltd Partners,Buckeye Florida LP,One Buckeye Drive,Perry,FL,32347,Taylor,30.0688,-83.5253
Bucksport Generation LLC,50243,ME,IPP CHP,"GT, ST","NG, WDS",Multiple,9303,Bucksport Generation LLC,Bucksport Generation LLC,River Road,Bucksport,ME,04416,Hancock,44.5738,-68.8046
Buena Vista Biomass Power,58472,CA,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,58460,Buena Vista Biomass LLC,Buena Vista Biomass Power,4655 Coal Mine Rd,Ione,CA,95640,Amador,38.277778,-120.913611
Burgess BioPower,58054,NH,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,57430,"Berlin Station, LLC",Burgess BioPower,One Community Street,Berlin,NH,03570,Coos,44.471944,-71.175278
Burney Forest Products,10652,CA,IPP CHP,ST,WDS,Wood/Wood Waste Biomass,2565,North American Energy Services,Burney Forest Products,35586-B Highway 299 East,Burney,CA,96013,Shasta,40.879719,-121.720342
Burney Mountain Power,54219,CA,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,59479,"Covanta Energy Americas, Inc.",Burney Mountain Power,Hwy 299 East Energy Drive,Burney,CA,96013,Shasta,40.909483,-121.640368
CPI USA NC Roxboro,10379,NC,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,58210,CPI USA NC Roxboro LLC,CPI USA NC Roxboro,331 Allie Clay Rd.,Roxboro,NC,27573,Person,36.435,-78.9619
CPI USA NC Southport,10378,NC,IPP CHP,ST,WDS,Wood/Wood Waste Biomass,58209,CPI USA NC Southport LLC,CPI USA NC Southport,1281 Powerhouse Dr. S.E.,Southport,NC,28461,Brunswick,33.944384,-78.011824
Cadillac Renewable Energy,54415,MI,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,55600,Cadillac Renewable Energy LLC,Cadillac Renewable Energy,1525 Miltner St.,Cadilliac,MI,49601,Wexford,44.26169,-85.435224
Caltech Central,57460,CA,IPP Non-CHP,FC,OBG,Other Waste Biomass,56778,Bloom Energy 2009 PPA,Caltech Central,1124 E California St,Pasadena,CA,91106,Los Angeles,34.1358,-118.1267
Campbell Industrial Park,56329,HI,Electric Utility,GT,OBL,Other Waste Biomass,19547,Hawaiian Electric Co Inc,Campbell Industrial Park,91-196 Hanua Street,Kapolei,HI,96707,Honolulu,21.3025,-158.101667
Cargill B6 Biofactory,57343,ID,IPP CHP,IC,OBG,Other Waste Biomass,60524,"Pico Energy, LLC",Cargill B6 Biofactory,3350 S. 2400 E.,Jerome,ID,83338,Gooding,42.7167,-114.6167
Cargill Dry Creek Biofactory,57344,ID,Industrial CHP,IC,OBG,Other Waste Biomass,58992,"AgPower DCD, LLC",Cargill Dry Creek Biofactory,2952 N 4200 E,Hansen,ID,83344,Twin Falls,42.424937,-114.229225
Cargill Kettle Butte Biofactory,57345,ID,IPP CHP,IC,OBG,Other Waste Biomass,60582,Kettle Butte Dairy LLC,Cargill Kettle Butte Biofactory,20 N 2100 E,Roberts,ID,83444,Jefferson,43.631944,-112.279722
Central District Wastewater Treat Plant,54623,FL,Commercial CHP,IC,OBG,Other Waste Biomass,12411,Miami Dade Water & Sewer Dept,Central District Wastewater Treat Plant,3989 Rickenbacker cswy,Miami,FL,33131,Miami Dade,25.748565,-80.152791
Central Valley Ag Power,58978,CA,IPP Non-CHP,IC,OBG,Other Waste Biomass,58839,Central Valley Ag Power LLC,Central Valley Ag Power,5509 Langworth Rd,Oakdale,CA,95361,Stanislaus,37.719722,-120.898611
City of Hayward WWTP,58525,CA,IPP CHP,"IC, PV","OBG, SUN",Multiple,58500,City of Hayward,City of Hayward WWTP,3700 Enterprise Avenue,Hayward,CA,94545,Alameda,37.633526,-122.139717
City of Tulare Water Facility,59395,CA,Commercial CHP,"FC, IC, PV","OBG, SUN",Multiple,59173,City of Tulare Water Pollution Control,City of Tulare Water Facility,1875 South West Street,Tulare,CA,93274,Tulare,36.185,-119.375
Clean Fuel Dane Community Digester,59559,WI,IPP CHP,IC,OBG,Other Waste Biomass,59878,Clean Fuel Partners Dane,Clean Fuel Dane Community Digester,6321 Cuba Valley Road,Vienna,WI,53529,Dane,43.217222,-89.479167
Clearwater Paper APP CB,50638,AR,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,56225,Clearwater Paper Corporation,Clearwater Paper APP CB,5082 Hwy 4 North,Arkansas City,AR,71630,Desha,33.7061,-91.2371
Clearwater Paper IPP Lewiston,50637,ID,Industrial CHP,ST,"BLQ, NG",Multiple,56225,Clearwater Paper Corporation,Clearwater Paper IPP Lewiston,803 Mill Rd,Lewiston,ID,83501,Nez Perce,46.423056,-116.976389
Clewiston Sugar House,50482,FL,Industrial CHP,ST,AB,Other Waste Biomass,19365,United States Sugar Corp,Clewiston Sugar House,1731 South WC Owen Avenue,Clewiston,FL,33440,Hendry,26.7351,-80.9377
Co-Gen II LLC,50993,OR,IPP CHP,ST,WDS,Wood/Wood Waste Biomass,3930,Co-Gen II,Co-Gen II LLC,1991 Pruner Road,Riddle,OR,97469,Douglas,42.961126,-123.359138
Co-Gen LLC,50921,OR,IPP CHP,ST,WDS,Wood/Wood Waste Biomass,3770,Co-Generation Co,Co-Gen LLC,457 Front Street,Prairie City,OR,97869,Grant,44.458696,-118.720601
Collins Pine Project,10661,CA,Industrial CHP,ST,WDS,Wood/Wood Waste Biomass,3953,Collins Pine Co,Collins Pine Project,500 Main Street,Chester,CA,96020,Plumas,40.303422,-121.244431
Collinwood BioEnergy Facility,58439,OH,Industrial Non-CHP,IC,OBG,Other Waste Biomass,58435,Collinwood BioEnergy,Collinwood BioEnergy Facility,13550 Aspinwall Avenue,Cleveland,OH,44110,Cuyahoga,41.555556,-81.589167
Columbia Flooring Melbourne,56182,AR,Industrial CHP,ST,WDS,Wood/Wood Waste Biomass,49831,Unilin Flooring NC LLC-Columbia Flooring,Columbia Flooring Melbourne,Highway 9 Spur,Melbourne,AR,72556,Izard,36.060514,-91.919802
Columbus MS,50184,MS,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,20492,International Paper Columbus Mill,Columbus MS,4335 Carson Road,Columbus,MS,39703,Lowndes,33.3602,-88.46
Consumer Products (Camas) LLC,57759,WA,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,59936,Georgia-Pacific Consumer Prod. (Camas) LLC,Consumer Products (Camas) LLC,401 NE Adams St,Camas,WA,98607,Clark,45.584722,-122.4056
Cosmo Specialty Fibers Plant,50185,WA,Industrial CHP,ST,WDL,Wood/Wood Waste Biomass,20547,Cosmo Specialty Fibers,Cosmo Specialty Fibers Plant,1701 First St,Cosmopolis,WA,98537,Grays Harbor,46.954071,-123.761086
Covanta Delano Energy,10840,CA,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,56099,Covanta Delano Inc,Covanta Delano Energy,31500 Pond Road,Delano,CA,93215,Kern,35.7144,-119.2337
Covanta Mendota,10837,CA,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,55989,Covanta Mendota LP,Covanta Mendota,400 Guillen Parkway,Mendota,CA,93640,Fresno,36.755896,-120.365422
Covington Facility,50900,VA,Industrial CHP,ST,"BIT, BLQ, WDS",Multiple,20508,WestRock Corp,Covington Facility,104 East Riverside St,Covington,VA,24426,Covington City,37.799722,-79.9947
Cox Waste to Energy,54850,KY,Industrial CHP,ST,WDS,Wood/Wood Waste Biomass,4413,Cox Interior Inc,Cox Waste to Energy,1001 New Columbia Rd,Campbellsville,KY,42718,Taylor,37.3208,-85.3611
Craven County Wood Energy LP,10525,NC,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,3837,CMS Generation Operating Co II,Craven County Wood Energy LP,201 Executive Parkway,New Bern,NC,28562,Craven,35.130193,-77.167883
DC Water CHP,59012,DC,IPP CHP,GT,OBG,Other Waste Biomass,58862,DC Water,DC Water CHP,5000 Overlook Ave SW,Washington,DC,20032,District of Columbia,38.820556,-77.018333
