State,State_2_code,RP_Goal,Goal,Goal_Year,Year_est,Biomass_in_rps,Biomass_details,Biomass_bioelectricity,State_Statute
Alabama,AL,None,N/A,N/A,,,,,
Alaska,AK,None,N/A,N/A,,,,,
Arizona,AZ,RPS,15%,2025,2006,,,,
Arkansas,AR,None,N/A,N/A,,,,,
California,CA,RPS,50%,2030,2002,TRUE,biomass considered RE,x,http://www.leginfo.ca.gov/pub/15-16/bill/sen/sb_0301-0350/sb_350_bill_20151007_chaptered.html
Colorado,CO,RPS,30%,2020,2004,TRUE,biomass considered RE,x,web.lexisnexis.com/research/retrieve?_m=1f19680d0e8d8bfdb0f17231139ed4a2&_browseType=TEXTONLY&docnum=1&_fmtstr=FULL&_startdoc=1&wchp=dGLbVzk-zSkAA&_md5=edbc55955c4649cbed689f12016ece40
Connecticut,CT,RPS,27%,2020,1998,TRUE,"3 pct by 2010 (biomass, w2E, certain hydropower)",x,https://www.cga.ct.gov/current/pub/chap_283.htm#sec_16-245a
Delaware,DE,RPS,25%,2026,2005,TRUE,"Electricity generated by the combustion of gas from the anaerobic digestion of organic material Electricity generated from the combustion of biomass that has been cultivated and harvested in a sustainable manner as determined by DNREC, and is not combusted to produce energy in a waste to energy facility or in an incinerator",x,http://delcode.delaware.gov/title26/c001/sc03a/index.shtml#P11_150
Florida,FL,None,N/A,N/A,,,,,
Georgia,GA,None,N/A,N/A,,,,,
Hawaii,HI,RPS,100%,2045,,,,,
Idaho,ID,None,N/A,N/A,,,,,
Illinois,IL,RPS,25%,2026,,,,,
Indiana,IN,RPG,10%,2025,,x,,,
Iowa,IA,RPS,105 MW,1999,,x,,,
Kansas,KS,RPG,20%,2020,,,,,
Kentucky,KY,None,N/A,N/A,,,,,
Louisiana,LA,None,N/A,N/A,,,,,
Maine,ME,RPS,40%,2017,,,,,
Maryland,MD,RPS,25%,2020,,,,,
Massachusetts,MA,RPS,15%,2020,,,,,
Michigan,MI,RPS,15%,2021,,x,,,
Minnesota,MN,RPS,26.50%,2025,2007,,,,
Mississippi,MS,None,N/A,N/A,,,,,
Missouri,MO,RPS,15%,2021,,,,,
Montana,MT,RPS,15%,2015,,,,,
Nebraska,NE,None,N/A,N/A,,,,,
Nevada,NV,RPS,25%,2025,,,,,
New Hampshire,NH,RPS,24.80%,2025,,,,,
New Jersey,NJ,RPS,20.38%,2020,,,,,
New Mexico,NM,RPS,20%,2020,,,,,
New York,NY,RPS,50%,2030,,,,,
North Carolina,NC,RPS,12.50%,2021,2007,TRUE,credit multipliers for biomass facilities located in cleanfields renewable energy demonstration parks. Combustion must meet certain standards,,https://www.ncga.state.nc.us/EnactedLegislation/Statutes/HTML/BySection/Chapter_62/GS_62-133.8.html
North Dakota,ND,RPS,10%,2015,,,,,
Ohio,OH,RPS,12.50%,2026,,,,,
Oklahoma,OK,RPG,15%,2015,,,,,
Oregon,OR,RPS,50%,2040,,,,,
Pennsylvania,PA,RPS,18%,2021,,x,,,
Rhode Island,RI,RPS,38.50%,2035,,,,,
South Carolina,SC,RPG,2%,2021,,,,,
South Dakota,SD,RPG,10%,2015,,,,,
Tennessee,TN,None,N/A,N/A,,,,,
Texas,TX,RPS,5880 MW,2015,,,,,
Utah,UT,RPG,20%,2025,,,,,
Vermont,VT,RPS,75%,2032,,,,,
Virginia,VA,RPG,15%,2025,,x,,,
Washington,WA,RPG,15%,2020,,,,,
West Virginia,WV,Repealed,N/A,N/A,,,,,
Wisconsin,WI,RPG,10%,2015,,,,,
Wyoming,WY,None,N/A,N/A,1998,,,,
American Samoa,AS,None,N/A,N/A,,,,,
District of Columbia,DC,RPS,50%,2032,,,,,
Federated States of Micronesia,FM,None,N/A,N/A,,,,,
Guam,GU,RPG,25%,2035,,,,,
Marshall Islands,MH,None,N/A,N/A,,,,,
Northern Mariana Islands,MP,RPS,20%,2016,,,,,
Palau,PW,None,N/A,N/A,,,,,
Puerto Rico,PR,RPS,20%,2035,,,,,
Virgin Islands,VI,RPS,30%,2025,,,,,
